c1,c2,c3,c4,c5,c6,c7,c8
-0.3,-5.2,0.4,5.5,0.4,0.7,-1.2,Good
0.1,4.7,1.5,0.2,1.2,1.7,-1.6,Excellent
-2.2,1.8,0.7,0.9,1.1,,-1.9,Very Good
0.4,-1.3,0.6,1.2,0.8,0.1,-1.6,Very Good
0.5,4.1,2.1,8.7,,0.1,-3.8,Good
-0.6,-0.2,2,0.1,0.2,1.5,-1,Very Good
0.4,6.7,4.1,0.4,0.4,0.2,10.3,Fair
-0.6,1.8,0.2,0,0.9,0,-2.3,Fair
0.3,-6.3,1.3,1.6,0,1.6,2.4,Very Good
0,-6.2,1,1.7,0.1,1.5,12.2,Fair
-1.1,5,0.8,1.5,1.6,2.4,14.3,Very Good
-1.7,-6,1.1,0.3,0.5,1.3,6.7,Good
-0.7,-6.3,0.3,73.3,4.1,0.4,-13.6,Very Good
0.1,2,0.2,0.1,1.1,,10,Good
-0.6,0.8,0.8,28.1,1.2,0.3,5.5,Very Good
-1.4,7.5,0.2,1.1,0.7,,-5.4,Fair
0.7,10.6,0.3,0.1,0.4,0.9,-17,Very Good
-0.1,-2.4,8.1,2.6,0.2,0.8,-0.9,Fair
-0.5,2.5,1.5,0.1,3.2,0,2.9,Very Good
-1.3,,3.5,0.6,1.5,1,0.4,Very Good
0.3,-5.4,0.6,3,1.3,0.1,-9.7,Fair
-0.2,2,0.5,0.1,0.6,0.5,-5.8,Very Good
-0.5,2.8,0.4,0.3,1.2,0.3,-3.9,Very Good
-0.2,2.7,0.3,0.1,0.1,0.5,0.3,Poor
-0.4,5.6,0.8,0.1,0.1,0,-16.6,Excellent
-1.4,3.9,10.9,7,1.4,4,3.5,Excellent
-0.2,0.9,0.6,0.1,2.4,0.1,-2,Very Good
0.1,-0.1,0.5,1.8,1.6,1.1,-2.5,Fair
-0.4,-6.6,2.7,18.1,0.7,2.2,1.8,Poor
0.1,4.6,2.2,9.6,1.8,0.5,-13.1,Good
-0.3,,3.2,0.5,2,0.3,2.4,Fair
0.1,-5.4,3.3,2.4,0.7,1.2,4.9,Poor
-1,7.8,1.3,0.7,2,,-9,Very Good
1,-0.8,0.6,0.1,0,0.2,-12,Poor
0.1,2.8,0.1,0.1,2.5,1.4,-10.4,Very Good
-1.1,5.8,1.5,0,0.1,0.9,-8.3,Very Good
-2,-1.3,1.6,0,0.2,0.5,8.8,Very Good
0.3,,2,15.3,0.5,0.4,-1.2,Excellent
0.9,-0.5,2.1,1.1,0.8,0.5,-19.3,Very Good
0.8,5.5,0.9,1.6,0.1,0.7,5.2,Very Good
-0.8,-1.1,0.8,43.8,0.3,0.5,3.1,Good
0.1,-1.6,1.4,49.5,3.1,0.7,-5.6,Very Good
-0.8,1.7,0.7,2.8,0.3,0.7,6.5,Very Good
0.7,1.4,0.5,64,2.5,0.1,-0.2,Fair
-0.6,-4.1,10.6,0,0,0.1,-2.8,Poor
0.7,2.6,3.2,0.3,0.6,2.9,-4.2,Poor
-0.2,-9.3,0.3,0.7,1.8,0.6,2.9,Poor
-0.7,6.6,0.2,0.1,1.4,1,9.7,Good
0.4,4.1,1.8,1.6,1.1,,5.3,Fair
-1.5,,0.9,0.1,,0.5,-4.7,Good
0,5.5,0.5,344.3,0.1,0.3,-5.8,Poor
0.4,4.2,0.3,9.2,1.2,0.6,6,Good
1.2,3.2,3.3,0.1,0.3,0.6,20.4,Poor
-0.3,-4.8,0.3,1.9,2,2,-1.9,Excellent
-1.3,3.1,0.2,1.8,1.7,1.3,-0.6,Very Good
-0.9,0.9,1.5,7.8,0.9,,-0.3,Excellent
1.6,8,0.1,1,0.2,0.4,-6.2,poor
0.7,6.2,0.5,1.9,0.3,1.5,-4.5,Fair
0,-5.8,5.8,0,0.8,0.6,-4.9,Very Good
-0.2,-4.6,3.3,3.3,0.2,,-14.2,Fair
-0.7,2.5,8.1,0,,1.9,8.6,Excellent
-1.4,8,1.2,71.8,0.1,,12.5,Fair
-0.2,-3.5,0.1,0.1,0,1.2,6.7,Very Good
-1,1.1,2.1,0.1,0,1.6,-5.5,Fair
-0.7,-4.3,2.3,85.5,4.2,0,-8.1,Very Good
-0.3,0,1.1,0.1,2.6,1.1,-3.2,Good
2.5,0.6,0.3,0.2,0.9,3.6,5.5,Excellent
-0.8,8,0.2,1.8,0.8,0.3,-20.7,Poor
1.1,1.3,2,0.6,4.4,,-7.5,Poor
-0.8,-3.2,0.3,1.2,0,0.5,8.7,Good
-0.7,,2.5,0.3,0,0.2,6.5,Very Good
-0.8,3.6,0.8,12.5,0.4,2.4,-7.8,Excellent
-1.2,-6.2,0.9,0.1,0.3,0.3,7.2,Fair
1.6,-4.3,0.9,0.1,2.1,1.9,7.4,Very Good
0.3,-4.5,0.5,3,,0.5,5.2,Poor
0.5,-3.4,2.4,1.1,,1.1,4.7,Fair
0.8,-4.7,0.9,0.4,2.2,1,8.8,Good
-0.2,-11.7,1.1,2.4,1.2,1.8,-1.6,Fair
0.5,3.4,10.6,15.2,1.9,0.7,-1.5,Fair
1.2,,0.7,0.7,0.1,0.1,9.6,Excellent
-0.5,,1,1.4,0.6,,13.1,Excellent
0.4,2.5,3.4,0.4,2.7,,1.1,Poor
0.8,4.2,4.1,0.1,0.2,1.8,-13,Fair
1.8,,0,2.5,0.6,0.4,24.3,Poor
-1.5,-11.5,1.2,101.6,3,0,23.7,Fair
0.4,4.3,0.5,0.2,2.3,1.6,-6.5,Fair
-0.8,-9,0.3,9.2,2.3,1.9,11.8,Poor
-0.3,8.6,1.2,0,0.8,1.1,-5.4,Poor
-0.4,-4.7,2,0.6,0.4,0.7,-2,Very Good
-1.1,-5.6,0.9,0,1.1,0.8,-8.4,Excellent
0.2,-2.7,1.2,0,0.5,0.2,-17.8,Good
2.2,3.4,11.2,10.4,2,3.1,-11,Good
0.5,0.7,6.1,0.1,0.4,1.6,-7.8,Very Good
0.5,-8.8,2.3,3.6,0.8,0.2,1.9,Poor
-0.2,-6.4,1.5,0,,0.4,3,Fair
-0.6,6.5,1,0.7,0,2.6,4,Excellent
-0.4,,1.6,0,0.9,0.6,-7.1,Very Good
-0.3,,7.5,0.2,0.2,1.8,-5.9,Fair
-0.8,-1.8,0.5,3.4,0.8,0.8,4.5,Excellent
0.6,1.6,2,3.2,0.5,0.7,0.4,Good
-2.1,-3.4,0.7,0.8,0,0.1,1.9,Excellent
-0.3,-2.4,0.3,1.4,0.1,0.5,8.5,Poor
0.4,8.8,0.4,1.8,0.5,0.3,-8.1,Very Good
-1.2,10,3.8,0.1,1.2,0.9,12.5,Fair
2,2.7,1.7,6.1,1.3,1.1,-1.9,Fair
0.1,-4.3,0.8,0.6,,1.2,0.9,Very Good
-0.4,1.8,6.1,0.1,0.2,0.4,10.9,Very Good
-1.1,5.7,0.7,0.2,0.6,0.2,3.1,Good
-0.1,-8.4,1.7,5.3,0.9,1.1,9,Very Good
1.1,-0.7,0.8,0.4,1.3,0.1,-5,Very Good
0.7,-2.3,4.2,42.3,0.5,0.5,-5.8,Fair
-0.9,1.5,1.7,0.1,0.7,,-13.8,Fair
1.4,-3.6,4,0,0.4,0.2,3.2,Poor
1.4,8.2,1,2.4,0.3,1.7,13.3,Good
1.2,-0.6,0.8,7.5,0.2,0.7,1.6,Fair
0.6,-0.9,1.2,0.2,0,1.1,11.8,Very Good
-0.3,0.3,0.6,3.8,0.5,0.5,-0.5,Excellent
0,2.6,0.5,0.3,0,0.6,-4.8,Excellent
-0.1,-1.6,1.2,0.2,3.5,0.2,-3.3,Poor
1.2,3,5.3,0.3,2.2,2.3,-3.3,Excellent
-1.6,-2.9,0.5,0.4,0.1,1.5,9.8,Excellent
0.3,-3.8,0.2,0.5,1.7,3,6,Fair
1.4,-0.6,1.8,0.4,1.8,2.8,1.3,Fair
-0.2,,0.7,5.5,0.2,1.7,11.7,Fair
-0.2,-2.6,0.5,0.2,1.8,0.8,12.1,Good
-1.1,-4.5,0.7,3.9,0.8,0.8,-11.6,Poor
-0.6,7.4,3.7,3.9,0.6,0.3,-5.3,Good
-1.1,-4.1,0.9,0.3,1.4,0.8,-1.6,Fair
-0.3,2.8,0.5,0,2.2,0.8,3.9,Very Good
0,-2.5,0.2,5.5,0.9,0.5,-19.9,Good
1.1,-3,3,177.7,0.6,0.2,1.6,Fair
,-4.1,0.7,0,1.9,0.7,-12.7,Good
1.3,-8.9,0.8,36.4,0.8,1,-3.6,Fair
0.7,9,0.2,1.1,0.7,0.5,3.1,Poor
0.5,4,0.7,2.3,3,,6.5,Poor
0.8,-3.2,0.4,1,0.2,0.7,-2.8,Excellent
-1,-7,0.8,0.7,1.4,1.1,-8.7,Very Good
0.8,0.3,0.6,2.1,0.6,0.6,-2.9,Good
0.3,7.7,15.6,2.1,0.7,0.3,2.4,Poor
1.3,,0.4,1.5,0.8,0.7,11.4,Very Good
-1.4,-1.1,1.4,0.3,3.4,0.9,19,Good
-1,,0.1,0.4,0.1,0.1,8.2,Good
-0.1,-6.1,1.4,1.6,0.8,,0.4,Good
-1.5,1.9,1,0.2,1.2,0.6,-5.1,Poor
1.7,-0.5,0.7,0.6,0.7,0.2,-2.7,Very Good
-0.7,4.2,0.4,0,0.8,,19.2,Fair
-0.4,-8.6,1.1,0,0.1,0.9,12.8,Fair
-0.2,-2.9,16.5,5.1,0.5,,-14.6,Poor
-1.1,,0,64.2,0.8,1.4,10.8,Excellent
0,-8.1,17.3,1.6,0.2,0.7,-7.9,Very Good
0.1,0.6,0.8,1.7,1.3,0.6,6.5,Very Good
1,-4.2,0.8,31.1,0.8,0.1,-0.5,Very Good
0.1,-1.8,2,0.1,0.4,1.9,13.3,Good
0.9,-5.5,0.3,1.4,0.6,0.2,16,Good
0.2,1.5,2.8,0,0.1,5.2,0.1,Good
-1.3,-4.3,0.2,0.1,0.5,0.9,3,Very Good
-0.2,5,0.2,1,1.3,0.7,-5.3,Very Good
-1.9,7.9,0.5,6.2,1.2,0.7,-21.3,Excellent
-0.3,2,1.4,0.4,1.5,0.7,10,Poor
0.7,1.7,1.4,38.8,1.4,0.2,-4.5,Fair
1.3,-3.9,1.9,0.9,,1.2,6,Poor
1.1,2.8,1.2,0,1.1,0.1,-5.1,good
-0.4,-1.5,0.8,0.2,1.2,3.1,-3.2,Poor
1.6,-9.4,0.6,1,2.7,0.2,-18.4,Very Good
1.5,0.2,0.6,0.3,0.2,,-0.3,Fair
-1.2,,0.7,1.4,,3.1,-6.4,Good
-0.2,-4.3,2.9,0,,0,13.3,Excellent
-0.1,2.3,0.3,2.3,0.8,1.2,0.3,Very Good
0.1,0.3,0.8,0,2.3,0.7,-0.9,Excellent
0.9,1.1,0.4,0.2,0.3,2.8,9.3,Good
-0.7,-2.5,5.7,0.1,0,0.7,4.9,Fair
-1.5,0.3,2,0.1,1.8,0.1,16.5,Excellent
-2.4,0.6,1.9,35.5,0,2.4,5.1,Good
0,1.8,0.2,0.6,1.6,0.5,-12.6,Very Good
0.7,-3.7,1.3,1.6,1.4,0.8,-3.8,Poor
0.4,5.8,1,1.4,0.1,0.2,1.5,Good
-1.3,-5,3.5,20.7,1,0.7,-10.2,Good
0.8,5.1,4.8,0.1,0.6,1.4,-11.5,Poor
2.3,6.1,1.2,0.4,0,0.3,0.4,Good
,-0.3,0.8,7,,0.4,17,Good
0.2,-5.6,3.4,0,0.8,0.9,15.1,Good
0.2,4.7,0.4,0.4,1.1,0.3,-0.2,Fair
-0.5,-0.3,0.6,0.8,1.1,1,13.9,Good
1.1,-3.5,1.2,4.6,1.5,0.2,-13.9,Fair
-2,-6.1,0.5,32.1,0.3,0.2,-6.3,Poor
-0.3,-1.2,0.6,15,0.2,0.8,-10.7,Very Good
-0.5,6.1,0.2,13.2,0.5,0.2,-8.4,Fair
0.8,5.9,0.5,0.2,0.2,0.8,-4.1,Excellent
-0.3,-9.1,4.2,0,1.6,0.5,14.7,Very Good
-0.5,-4.5,0.5,11.8,0.8,0.3,4,Fair
-0.7,1.6,5,2.5,0.9,1.4,2.8,Poor
-2.2,7.1,0.3,0.4,,0.2,1.9,Very Good
-0.1,3,0.6,0,0.9,1.6,6,Very Good
0.3,-1.3,0.2,4.8,1.1,0.3,-4.3,Fair
0.2,5.6,0.5,5.6,0.6,0.3,-14.6,Very Good
0.4,-3.2,1.4,0,0.1,0.5,-4,Excellent
-0.3,4.2,4.8,0.6,0.1,1.4,7.2,Poor
0,8.7,0.9,34.2,0.1,1.4,12.6,Good
-0.6,2.7,1.7,6.9,0.7,0.7,-23.4,Good
1.8,1.5,1.7,1.5,0.1,0.6,-13,Excellent
0.6,0.9,1,0.1,0.2,0.2,14.2,Good
2,1,1.5,0.5,0.8,1,-16.2,Very Good
-1,-1.4,2.9,2.7,0.1,1.6,5.1,Good
-1.3,1.5,2,0.7,0.6,4.2,0.8,Good
0.2,-1,2.1,0.1,0.5,0.7,7.2,Very Good
-0.2,-4.4,0.5,0.4,1.1,0.8,1.1,Excellent
0.8,-5.4,0.3,0.4,0.7,1.4,2.3,Very Good
0.3,,5,0.8,0.2,1.1,7.5,Fair
-0.3,1.3,2.8,0.1,0.2,1.2,0.9,Poor
0.2,11.9,0.9,0.5,1.4,0.5,10.1,Very Good
1.2,-2.9,0.3,0.7,0.6,2.1,-12.4,Fair
-0.7,3.9,1.3,0.3,0.2,0.8,22.5,Very Good
-0.4,4.5,2.4,0.6,1,0.7,6.9,Good
0.2,-0.2,0.3,0.1,0.6,0.5,1.5,Fair
-0.2,-4.2,0.7,1.5,1.1,2.1,-23.8,Very Good
-2.6,4.1,0.4,0.6,,2.4,12.2,Fair
-1,6.8,0.7,0.2,1,0.1,-2,Very Good
-0.5,,0.2,0.2,0.1,0.1,0,Fair
0.8,-5.6,0.9,21.1,0.6,1,8.7,Very Good
0.8,-1.5,0.8,0.1,2,0.3,-5.7,Very Good
0.4,,0.9,0.6,7.2,0.3,-0.1,Very Good
0.2,,1.9,0.2,0.1,1.4,17.5,Fair
1.2,8.5,0.1,10.1,0.8,1,0.9,Very Good
0.8,-1.7,2.5,2.7,1.2,0,11.5,Fair
-0.7,-13.7,2.2,0.8,0.9,0.1,9.1,Very Good
-1.7,10,0.3,1.1,1,1,-18.8,Poor
,,0.3,3.2,1.3,3,-1.7,Good
0.1,-1.3,6.9,15.6,,0.2,15.3,Good
0.9,,1.5,0.3,0.1,,13.8,Poor
-0.5,0.3,2.7,0.8,1.2,0.2,-10.6,Fair
1.2,6.8,0.5,10.2,1.5,0.1,-0.6,Excellent
-2,8,1.1,0.7,1.8,0.8,0.9,Excellent
-0.5,-6.2,0.9,2.9,1.2,0.1,-10.2,Poor
2.1,8.6,0.4,0,0.3,0.2,6.7,Good
1.2,3.4,0.9,192.5,0.7,0.4,-5.6,Excellent
0.8,4.5,1.4,0.7,1.1,0.2,6.6,Very Good
1.2,-3.1,1.8,1.6,0.3,0.1,7.2,Fair
0.5,,0.1,0.3,1.9,0.8,-25.9,Good
0.2,3.2,1.3,1.2,2,0.3,9.6,Excellent
1.3,-0.5,0.2,14.3,0.6,0.3,0.1,Very Good
-2.7,-0.6,0.3,0.6,0.2,3,10.8,Very Good
-0.6,6,2.9,0,1.1,0.2,-20.4,Fair
-0.4,8.1,0.3,3.2,2.4,0.7,6.6,Excellent
2.2,,0.2,3,3.2,6.3,-21.3,Good
0.6,6.3,0.8,3,1.2,,-9.5,Fair
0.2,4,2.6,6.7,0.8,0,-0.3,Good
-0.3,-3.2,0.1,0.1,3.9,1.9,-6.7,Fair
-1,-5.1,0.6,1.8,0.2,0,-16.4,Very Good
0.7,-5.6,0.4,10.8,0.5,0.7,-8.2,Good
0.5,3.7,1,0.9,0,1.5,2.3,Good
0,-7.6,0.7,0.1,0.7,1.1,25.5,Excellent
0,1.4,3,0.2,0.3,1.3,-4.1,Fair
0.9,-12,1.9,2,2.2,1.1,-4.9,Fair
-1.2,,0.4,0.5,0.7,0.9,2.8,Fair
-1.3,4.6,1.1,0.7,0.8,1.3,8.3,Good
0.8,-5.1,1.1,3.8,1.2,0.5,-5.9,Very Good
-0.1,6,0.5,0.1,7.2,3.2,-3.8,Fair
0.7,-6.7,0.2,4.9,1.8,1.4,-0.3,Poor
0.1,-1.7,0.4,0.5,0.7,0.9,2.4,Fair
-1.1,,0.3,0.1,,0.3,2.6,Very Good
-0.2,0.8,0.5,1.5,0.2,0,-4.8,Poor
,1,0.3,0.2,2.3,,-6.7,Excellent
1.7,-9.7,0.6,0.3,2,0.4,6.3,Very Good
-0.7,0.3,0.6,0.3,0.6,,9.8,Very Good
0.9,-12.4,0.9,0.3,,0.3,1.9,Poor
-0.2,-5,2.1,0.5,1.1,,16.7,Very Good
0.1,-0.1,3.1,37,1.3,0.5,-7.3,Excellent
1.5,5.4,0.1,1,2.6,0.6,1.5,Very Good
0.4,-5.7,0.2,0.1,0.7,,-4.3,Poor
-2,2.5,0.1,1.9,0.8,0.2,14.1,Excellent
0.1,-6.1,0.3,4.4,2,0.1,-3.4,Very Good
0.8,-4.5,2.5,1.5,1.2,0.6,-2.9,Fair
-0.2,-6.9,1.5,0.3,0.1,0.2,2.3,Fair
0.8,-3.7,0.1,1.8,0.5,,4.9,Poor
0.2,-2.7,1.7,12.7,0.8,1.1,0.6,Fair
-0.3,4.9,0.8,1.4,2.7,2.7,3.1,Very Good
-0.4,-9.2,0.4,1.6,2.4,,-6.1,Excellent
-0.4,7,0.3,0,2.4,0.2,-8.6,Fair
0.1,,1,0.1,1,0.2,11.6,Poor
0.4,5.6,0.8,0.1,0.6,1.1,-0.5,Good
0.2,7.8,0.6,0,0.4,,-2.4,Fair
0.2,-3.7,0.3,0,0.8,,-4.1,Fair
1.2,-4.4,5.2,1.9,2.3,5.1,-4,Fair
1.1,-6.6,0.2,0.7,0.7,0.5,-4.6,Fair
-0.6,3.8,2.2,1.9,0.4,2,8.4,Fair
-0.3,-0.9,2.1,0.4,0.7,,-7.1,Very Good
-1.3,0.6,1.3,0.1,1.9,1,7.7,Poor
0.4,-0.8,2.9,3.4,2.4,1.8,-13.5,Fair
0.1,-4.2,1.1,70.1,2.3,1,-0.2,Very Good
1.1,3.1,0.3,0.1,2,1,8.6,Poor
-0.3,-2.5,0.4,0.2,0.5,0.8,2,Good
0.4,-0.3,0.2,0.3,3,0.9,2.4,Poor
1.5,-1.8,2.7,2.4,0.6,0.3,-0.2,Poor
-0.9,,0.7,0.4,2.9,1.4,-4.9,Very Good
-1,-4.2,0.7,5.6,1.1,0.8,-1.3,Poor
0.1,5.3,0.1,0.6,0.5,0.1,9,Good
-0.6,0.2,0.9,12.4,0.4,1.4,14.6,Fair
-1.5,0.4,1.8,0.5,0.3,0.5,-12.7,Good
0.6,-8.2,0.8,0.4,0.4,3.9,-3.1,Good
1.8,-0.4,0.1,0.4,3.2,,11.1,Excellent
1.3,-6,2.9,0,0.2,0.7,-4.1,Fair
-0.9,-4.2,0.7,2.3,1.9,0.5,0.4,Very Good
1.2,-4.4,0.5,1.8,1.5,,3.2,Very Good
2.3,6.8,0.3,0.1,1,1.2,16.3,Good
-0.7,0.4,1.5,1,1.9,1.2,-3.6,Very Good
0.7,1.7,0.3,0.9,1.2,3,-1.8,Good
-0.6,,1.7,0.1,0.2,,3.8,Poor
1.9,-2.9,0.3,0.5,0.3,,10.5,Excellent
1.6,-1.5,1,1.4,0,1.1,4.9,Very Good
0.9,,2.4,0,0.4,,-5.5,Poor
0,-2.3,0.6,0.8,2,1.2,-1.4,Very Good
-0.4,-5.4,6.3,0,1.3,0.2,-21,Poor
0.3,-2.2,0.4,0.2,0.1,2,23.4,Poor
1.7,1.5,0.2,55.1,1,1.1,9.7,Poor
-1.7,-7.2,0.8,0.1,0.3,0.8,-20.1,Very Good
-0.1,1.6,5,8.8,0.6,1,-3.1,Good
-1.3,-6.4,2.4,0.1,0.7,0.2,-2.1,Excellent
-1,-0.2,0.4,1.5,0.1,1.2,3,Good
2.2,5.7,2.4,56.4,0.4,0.8,2.6,Good
-0.7,3.2,0.2,34.2,0.1,0,4.9,Very Good
0.6,1.8,2,0.5,0.2,0.1,-2.4,Good
-0.6,10.1,3.1,0.7,2,0.1,1.3,Very Good
0.8,-2,1.7,11,0.1,0.4,8.2,Poor
0.9,-4.8,1.6,0.6,0,,6.3,Fair
0.9,5.3,4.4,0.4,0.4,0.2,14.4,Very Good
0.3,6.3,2.1,0.2,1.8,,-8.2,Excellent
-0.2,4,2.2,0.4,1.3,0.5,-6.2,Fair
0.3,8.7,0.3,19.7,2,0.9,9.4,Very Good
2,5.4,3.1,4,1.8,0.3,-8.1,Very Good
1,4.1,0.7,2.6,1.4,,-7.6,Very Good
0.6,0.5,1.2,0.1,1.5,1.7,18.9,Poor
-0.4,,0.8,12.9,1.1,0,-5.3,Very Good
-0.1,4.8,0.3,2.4,0.4,1.6,12.1,Very Good
0.4,11.4,1,0.2,0.1,1.4,-15,Good
-0.2,,1.4,0.4,4.4,1.5,-10.5,Fair
-0.2,10.1,0.3,0.1,0.4,0.1,1.1,Very Good
0,-5.5,2.4,0,0.8,0.6,1.7,Very Good
0,3.9,1.3,1.1,0.9,0.2,7.9,Poor
-1.3,,0.9,5.4,1.1,,-8,Good
1.1,,0.8,0.8,1.1,1.6,-6.3,Very Good
0.5,-1.4,1,3.3,0.4,1.1,-11.7,Excellent
1.6,4.2,0.8,0,0.2,2,-17.3,Very Good
-1.9,-6.5,0.3,0.2,0.5,1,-0.8,Fair
0.4,2.2,0.5,0.1,0.2,0.1,-16.7,Very Good
0.5,1.1,0.4,0.2,0.6,1.8,11.5,Poor
1.4,,0.4,3.1,1.1,1.6,2.2,Good
-0.8,0.9,1.3,1.4,2,1.4,-9.9,Excellent
0.4,-7.5,1.2,0.2,0.7,,-9.3,Fair
1.5,0,1.5,1.2,0.9,0.6,-2.3,Fair
1.8,-1.6,3.3,0,0,0.2,4,Poor
-0.4,-4.8,0.2,3.2,0.1,1,10.9,Poor
0.9,4.8,2.2,4.7,0.5,1.6,-13.2,Good
0.1,,2.6,0.2,2.2,2.3,-18.3,Poor
0.9,2.5,1.6,6.4,2.3,0.1,-12.5,Poor
-0.7,4.9,2.6,1.5,1.2,0.9,-6.1,Very Good
0,-1.7,1.7,0.1,2.1,0.9,-13,Fair
-0.5,-6.3,0.1,9.7,0.2,0.8,2.8,Very Good
0.7,2.8,2.4,15.1,0.3,1,1.1,Fair
-1.6,-4.9,0.5,0.6,1,2.5,-2.4,Very Good
1.1,1.2,2,1.1,0.7,0.7,-10.5,Fair
0.5,0.6,0.8,2.9,2.6,1.1,-8.4,Poor
-0.4,-5.5,1,0.3,0.5,0.4,3.4,Very Good
-2.1,0.6,1.5,23.7,0.1,2.7,14.7,Poor
-0.6,4.1,0.6,0,4.3,,2,Fair
-0.8,-6.6,2.9,5.4,1.8,1.4,0.5,Very Good
1.2,-2.3,2.5,16.2,0.6,1.5,-19.9,Fair
-1,4.8,2.3,5.4,2,1.2,5.7,Good
0.1,,0.6,2,1,0.5,1.2,Fair
-1.1,1.6,0.3,0.1,1.5,0.9,-13.3,Poor
0.1,3.6,4.1,28.4,0.5,,-8.1,Very Good
0.9,6,0.3,0.4,0.9,0,-7.9,Excellent
-0.9,,1.2,5.2,,1.6,10.8,Fair
-0.8,6,3.9,0.3,0.9,4.9,1.3,Poor
0.8,-9.9,0.7,0.1,0,2.8,-7.4,Excellent
0.1,-3.5,1.3,1.3,1.1,0.7,-3.6,Excellent
0.4,0.7,0.4,0.3,0.1,0.5,-9.4,Very Good
-0.7,-2.6,0.1,0.1,0.8,1.1,4.7,Excellent
-0.8,-0.5,1.6,3.2,1.5,0,-19,Fair
0.2,6.5,1.4,0.3,0.3,0.1,-6.2,Good
0.9,,3.6,0.3,1.8,0.6,13.7,Fair
-0.6,3.3,1.7,5,0.3,2.1,-2.9,Fair
0.1,2.4,1,0.3,0.1,0.3,14.3,Good
1,-5.4,4.6,15.7,5.4,0.9,3.7,Very Good
1.9,-2.4,1.6,1.7,2.1,,-9.5,Good
0.1,2.4,1.2,2.6,0.4,0,-2.8,Very Good
-3.2,-2.1,0.1,0.1,1.9,3,-17.2,Good
-0.3,10.1,0.3,0,1.2,0.9,-2.8,Good
-1,4.4,0.3,0.5,0.8,2.7,5.7,Poor
0.6,1.1,0.6,8.2,0.5,0.1,2.6,Excellent
,,2.4,3.5,0.4,0.3,18,Good
0.9,-14.4,1.9,0.1,3,0.5,13.4,Good
2,-3.7,0.5,0.5,0.1,,9.7,Poor
-0.9,0.7,0.8,0.1,2.9,0.2,2.7,Good
0.4,-2,1.5,63.3,1.7,0.5,-2.7,Good
0.2,-1.6,0.7,4.1,2.3,0.5,-8.9,Very Good
0.3,0.1,0.8,0.5,0.4,0.4,-8.2,Very Good
0.3,-6.8,1,3.6,1.6,,-2.6,Good
-2.2,4.3,0.2,0,1,1.7,6.1,Very Good
0.1,1.1,0.4,0.3,0.5,0.5,-18,Fair
0.7,1.4,2.5,0.1,0.1,2.5,6.7,Very Good
-1.6,-4.3,0.8,0.1,0.1,0,-15.6,Good
0.3,11.3,0.1,5.1,0.1,2.6,0,Very Good
-0.9,,9.2,10.6,0.2,0.8,-3.8,Poor
0.1,-6.8,1.2,0.3,0.1,,15.4,Fair
-0.4,-0.9,0.2,2.8,0.4,1,3,Very Good
,-0.4,1.6,0.2,0.6,0.6,-3.7,Excellent
1.1,-1.9,3.3,0.1,1.4,0.8,-13,Very Good
-2.5,8.3,1,0.9,1.1,0.6,8.9,Excellent
-1.8,-2.2,0.4,17,0.2,0.1,-3.4,Excellent
-0.6,2.1,5.3,0.5,0.7,0.6,-19.6,Excellent
0.3,-2.9,1.9,5.2,0.9,0.4,-1.2,Good
1.4,-2.6,2.4,0.2,0.9,,-14.9,Very Good
0.5,-4.9,0.6,0.6,0.6,0.1,-4.4,Por
-0.9,-12,0.2,11.6,2.5,0.6,13.8,Good
-0.1,,0.8,0.2,4.8,0.2,-12.3,Very Good
0,,0.6,6.3,1.1,,15,Fair
0.9,,0.8,3.6,0.1,0.7,-14.8,Excellent
,6.4,0.3,0.7,2.3,0.1,21.7,Good
-0.6,-0.5,0.7,14,0.2,0.5,1.7,Excellent
0.5,0.2,0.2,7.4,1,0.2,11.4,Very Good
0.9,-1.1,1.7,0.5,1.8,0.7,-9.8,Very Good
-0.1,-5.7,0.1,0.5,1.4,4.3,1.6,Very Good
-1.2,-16.9,2.5,0.1,1,0,-10.2,Poor
-0.9,14.5,0.3,16.4,3.4,5.9,-0.8,Very Good
0.6,5.9,1.1,0.4,0,,-13.2,Very Good
-0.4,8.1,3,0.3,0.4,3.7,-3.7,Good
0,-2.6,0.4,0,0.4,0.1,12.4,Fair
-0.7,-5.3,0.3,6.2,0.3,0.3,-2.1,Fair
-2.2,,4.9,7.1,2.5,1.7,-18.2,Fair
0.3,,0.4,7.4,0.5,1,-2.2,Poor
-0.9,,0.2,0.2,3.6,1,-17.2,Excellent
-0.8,5.6,2.6,4.7,1.8,0.5,-0.3,Very Good
-1.2,4.5,1.4,1.1,0.7,1,1.4,Excellent
-0.8,-2.4,1.1,3.9,0.1,0.7,0.7,Good
1.1,10.5,0.5,3.4,,0,13.2,Good
0.4,8.8,0.4,0.2,1,1.9,23.4,Very Good
-0.1,2,1.2,0.3,0.5,3.4,5.7,Good
-0.4,5.3,0.5,7.6,1.7,0.2,18.4,Good
0.6,,5.4,6.8,0.2,1,-10,Poor
-2,-3.7,0.3,0.5,0.2,0.1,3.6,Excellent
-0.8,5.7,0.8,0.2,0.8,2.2,2.5,Good
1.3,-7.9,0.6,0.3,0.3,0.8,3,Very Good
1.2,,0.5,1,0.1,0.4,-4.5,Poor
0.2,1.9,3.2,407.9,2.1,0.3,15.9,Poor
-1.2,2.1,2.9,0.3,0.7,0.2,-2.2,Good
